No,DHIS2 Code,MoH_Facility_Name,MoH_Facility_ID,HFR Code,DATIM_ID,SNU,PSNU,Facility,Facility,Military,Funding Agency,IP,COP23FY24
134,MBnGkQZ8AVO,Chimala Mission Other Hospital,MBnGkQZ8AVO,100816-8,PohHEsxRTtQ,Mbeya,Mbarali District Council,Chimala Mission Other Hospital,Chimala Mission Other Hospital,,DOD,HJF,1
135,vpmNA8IPklz,Tukuyu District Hospital,vpmNA8IPklz,107897-1,Gg3T5XDpkdD,Mbeya,Rungwe District Council,Tukuyu District Hospital,Tukuyu District Hospital,,DOD,HJF,1
136,zeMgsO8ZIv0,Chunya District Hospital,zeMgsO8ZIv0,100890-3,gz7j7YrPUT9,Mbeya,Chunya District Council,Chunya District Hospital,Chunya District Hospital,,DOD,HJF,1
137,ecSS0ALJfWI,Mwambani Other Hospital,ecSS0ALJfWI,109213-9,Rbb2IFrAeYG,Songwe,Songwe District Council,Mwambani Other Hospital,Mwambani Other Hospital,,DOD,HJF,1
138,wSagTMkxLwN,Town Health Center,wSagTMkxLwN,111475-0,jn99nS5GLP9,Katavi,Mpanda Municipal Council,Town Health Center,Town Health Center,,DOD,HJF,1
139,L9JQDHkdPHu,Mbarali District Hospital,L9JQDHkdPHu,115154-7,RSJwaEwpIRJ,Mbeya,Mbarali District Council,Mbarali District Hospital,Mbarali District Hospital,,DOD,HJF,1
140,coknnIb9vxq,Uhai Baptist Health Center,coknnIb9vxq,108033-2,jKr8Q4SwJOB,Mbeya,Mbeya City Council,Uhai Baptist Health Center,Uhai Baptist Health Center,,DOD,HJF,1
141,IVe0XfskIOM,Mbalizi Other Hospital,IVe0XfskIOM,108676-8,yhVsHPCTdMU,Mbeya,Mbeya District Council,Mbalizi Other Hospital,Mbalizi Other Hospital,,DOD,HJF,1
142,NIpR8gZ3KDN,514Kj Dispensary,NIpR8gZ3KDN,100021-5,Pwoz3wNJjYY,Njombe,Makambako Town Council,514Kj Dispensary,514Kj Dispensary,Military,DOD,HJF,1
143,lllTII4bpik,St.Bakhita Health Center,lllTII4bpik,108045-6,V3WLMWsfUrp,Mbeya,Mbarali District Council,St.Bakhita Health Center,St.Bakhita Health Center,,DOD,HJF,1
144,U40uSdY8skt,Igogwe Mission Other Hospital,U40uSdY8skt,101552-8,Z3KHbwlyWhi,Mbeya,Rungwe District Council,Igogwe Mission Other Hospital,Igogwe Mission Other Hospital,,DOD,HJF,1
145,Fa4Q49GwrlK,Makongolosi Health Center,Fa4Q49GwrlK,109211-3,AlT8QBQFC0S,Mbeya,Chunya District Council,Makongolosi Health Center,Makongolosi Health Center,,DOD,HJF,1
146,JACkGFDkS4D,Ipinda Health Center,JACkGFDkS4D,101830-8,lMRkCLcxkO6,Mbeya,Kyela District Council,Ipinda Health Center,Ipinda Health Center,,DOD,HJF,1
147,DjeDZqGKeOT,Mlowo Dispensary,DjeDZqGKeOT,105220-8,w5TMMqXcT9S,Songwe,Mbozi District Council,Mlowo Dispensary,Mlowo Dispensary,,DOD,HJF,1
148,i5JOvg0d1Dw,Kiwanja Mpaka Health Center,i5JOvg0d1Dw,103227-5,u9xndvYdt5u,Mbeya,Mbeya City Council,Kiwanja Mpaka Health Center,Kiwanja Mpaka Health Center,,DOD,HJF,1
149,nPsRsAhjEIx,Lugalo Referral Hospital At Zonal Level,nPsRsAhjEIx,103632-6,pCqvVpvjnle,Dar es Salaam,Kinondoni Municipal Council,Lugalo Referral Hospital At Zonal Level,Lugalo Referral Hospital At Zonal Level,Military,DOD,HJF,1
150,zNaXnBjnud1,Mazwi Health Center,zNaXnBjnud1,104537-6,BzwuTL8wonD,Rukwa,Sumbawanga Municipal Council,Mazwi Health Center,Mazwi Health Center,,DOD,HJF,1
151,xRGDjfYtukS,Madibira Health Center,xRGDjfYtukS,103850-4,HrZpDMeqO42,Mbeya,Mbarali District Council,Madibira Health Center,Madibira Health Center,,DOD,HJF,1
152,fAXrzWovGYO,Ruhuwiko Jwtz Dispensary,fAXrzWovGYO,107146-3,K32JXXdsp9J,Ruvuma,Songea Municipal Council,Ruhuwiko Jwtz Dispensary,Ruhuwiko Jwtz Dispensary,Military,DOD,HJF,1
153,ASs1yzeZKiH,Mpanda District Hospital,ASs1yzeZKiH,105336-2,b4wOTohm2MT,Katavi,Mpanda Municipal Council,Mpanda District Hospital,Mpanda District Hospital,,DOD,HJF,1
154,WpnDZ7MFsrI,Mwanza Military Other Hospital,WpnDZ7MFsrI,109227-9,k08t3SaePNA,Mwanza,Ilemela Municipal Council,Mwanza Military Other Hospital,Mwanza Military Other Hospital,Military,DOD,HJF,1
155,Uc4q4WIA3H9,Sumbawanga Regional Referral Hospital,Uc4q4WIA3H9,107663-7,rRHoCwBTo3b,Rukwa,Sumbawanga Municipal Council,Sumbawanga Regional Referral Hospital,Sumbawanga Regional Referral Hospital,,DOD,HJF,1
156,HRWweGJbjhA,St.Aloyce Health Center,HRWweGJbjhA,108689-1,Td2GTsawx8Y,Katavi,Mpanda Municipal Council,St.Aloyce Health Center,St.Aloyce Health Center,,DOD,HJF,1
157,kkuOnwJTIAz,Laela Health Center,kkuOnwJTIAz,103442-0,VLBMAcZftPf,Rukwa,Sumbawanga District Council,Laela Health Center,Laela Health Center,,DOD,HJF,1
158,ejTf0NPjWJA,Itaka Dispensary,ejTf0NPjWJA,101956-1,eKQJprPXhYn,Songwe,Mbozi District Council,Itaka Dispensary,Itaka Dispensary,,DOD,HJF,1
159,bxrosOcjs8M,Isansa Health Center,bxrosOcjs8M,101887-8,V8bfTLPkGPR,Songwe,Mbozi District Council,Isansa Health Center,Isansa Health Center,,DOD,HJF,1
160,G7mrhFI7Jvb,Milambo Military Other Hospital,G7mrhFI7Jvb,104961-8,P8iKQohKB5C,Tabora,Tabora Municipal Council,Milambo Military Other Hospital,Milambo Military Other Hospital,Military,DOD,HJF,1
161,gB5MQ0tlCXO,Igurusi Health Center,gB5MQ0tlCXO,101595-7,RnzNbbBBEOo,Mbeya,Mbarali District Council,Igurusi Health Center,Igurusi Health Center,,DOD,HJF,1
162,reZwKgNPi81,Itende Jkt Dispensary,reZwKgNPi81,101971-0,QZamtlqziVz,Mbeya,Mbeya City Council,Itende Jkt Dispensary,Itende Jkt Dispensary,Military,DOD,HJF,1
163,FVkFIgfydmU,Muze Dispensary,FVkFIgfydmU,105759-5,ILAkosWWYIR,Rukwa,Sumbawanga District Council,Muze Dispensary,Muze Dispensary,,DOD,HJF,1
164,egHqXeo5edv,Mzinga District Hospital,egHqXeo5edv,110299-5,HDqOpgsNVzy,Morogoro,Morogoro Municipal Council,Mzinga District Hospital,Mzinga District Hospital,Military,DOD,HJF,1
165,lUBboAVA5g7,Katandala Health Center,lUBboAVA5g7,102460-3,d7qsBMGY4qn,Rukwa,Sumbawanga Municipal Council,Katandala Health Center,Katandala Health Center,,DOD,HJF,1
166,YJoxRVEHzMR,Itensa Dispensary,YJoxRVEHzMR,101974-4,rRzLFUNmotk,Mbeya,Mbeya City Council,Itensa Dispensary,Itensa Dispensary,,DOD,HJF,1
167,oF4KQ5OIu4w,Mbozi Other Hospital,oF4KQ5OIu4w,104637-4,hH3h3S1rJ01,Songwe,Mbozi District Council,Mbozi Other Hospital,Mbozi Other Hospital,,DOD,HJF,1
168,kQxC8INwhfT,Lugalo Rch Other Hospital,kQxC8INwhfT,103633-4,P7T0A8TJ7cu,Dar es Salaam,Kinondoni Municipal Council,Lugalo Rch Other Hospital,Lugalo Rch Other Hospital,Military,DOD,HJF,1
169,mhyrUyhjaa1,Dr. Atman Other Hospital,mhyrUyhjaa1,101003-2,qin6a4KHYEI,Rukwa,Sumbawanga Municipal Council,Dr. Atman Other Hospital,Dr. Atman Other Hospital,,DOD,HJF,1
170,wvL9bAQgBQi,Majimoto Dispensary,wvL9bAQgBQi,110072-6,rDMyta55Jg9,Katavi,Mpimbwe District Council,Majimoto Dispensary,Majimoto Dispensary,,DOD,HJF,1
171,JuMLJcwJyJS,Holly Family Health Center,JuMLJcwJyJS,108886-3,zAS83U9Cbwr,Songwe,Tunduma Town Council,Holly Family Health Center,Holly Family Health Center,,DOD,HJF,1
172,LAxjeOo5eF3,Matema Lutheran Other Hospital,LAxjeOo5eF3,104455-1,l5VpKnYaWlT,Mbeya,Kyela District Council,Matema Lutheran Other Hospital,Matema Lutheran Other Hospital,,DOD,HJF,1
173,N6MpLkVADhz,Lupa Dispensary,N6MpLkVADhz,109157-8,pA9WQG9sWl4,Mbeya,Chunya District Council,Lupa Dispensary,Lupa Dispensary,,DOD,HJF,1
174,AhK7DMKLYbe,Lupatingatinga Health Center,AhK7DMKLYbe,110736-6,GDvI7EXZlE0,Mbeya,Chunya District Council,Lupatingatinga Health Center,Lupatingatinga Health Center,,DOD,HJF,1
175,UZHhQiyvwqL,Mbuyuni Health Center,UZHhQiyvwqL,109177-6,GIWWEd1I0ez,Songwe,Songwe District Council,Mbuyuni Health Center,Mbuyuni Health Center,,DOD,HJF,1
176,GjcImHJILxp,Matundasi Dispensary,GjcImHJILxp,104490-8,PCcJblaXqeK,Mbeya,Chunya District Council,Matundasi Dispensary,Matundasi Dispensary,,DOD,HJF,1
177,DJ7MSFsuDxA,Mwakaleli Health Center,DJ7MSFsuDxA,105825-4,XkWItkUj6lN,Mbeya,Busokelo District Council,Mwakaleli Health Center,Mwakaleli Health Center,,DOD,HJF,1
178,p6rhZjpZVgT,Makwale Dispensary,p6rhZjpZVgT,104156-5,UjdWuNI1O7F,Mbeya,Kyela District Council,Makwale Dispensary,Makwale Dispensary,,DOD,HJF,1
179,zgp2gPBVqyt,Bugando Medical Centre (Bmc) Other Hospital,zgp2gPBVqyt,100438-1,gooP9zZ9PkA,Mwanza,Nyamagana Municipal Council,Bugando Medical Centre (Bmc) Other Hospital,Bugando Medical Centre (Bmc) Other Hospital,,CDC,ICAP,1
180,JRRMdpZ9jWa,Katoro Health Center,JRRMdpZ9jWa,102484-3,V2p5ZupLhKG,Geita,Geita District Council,Katoro Health Center,Katoro Health Center,,CDC,ICAP,1
181,Iichj5lWgE3,Geita Regional Referral Hospital,Iichj5lWgE3,101192-3,Rlz938yBN3C,Geita,Geita Town council,Geita Regional Referral Hospital,Geita Regional Referral Hospital,,CDC,ICAP,1
182,Id08ZBnnUP7,Masumbwe Health Center,Id08ZBnnUP7,104429-6,Ha062OLXeSJ,Geita,Mbogwe District Council,Masumbwe Health Center,Masumbwe Health Center,,CDC,ICAP,1
183,RvbJOAdrZbO,Nyamagana District Hospital,RvbJOAdrZbO,106688-5,d6MwGRNO1HE,Mwanza,Nyamagana Municipal Council,Nyamagana District Hospital,Nyamagana District Hospital,,CDC,ICAP,1
184,NnLWC4MW7ix,Sekou-Toure Regional Referral Hospital,NnLWC4MW7ix,107354-3,GfuQuDeGNdq,Mwanza,Nyamagana Municipal Council,Sekou-Toure Regional Referral Hospital,Sekou-Toure Regional Referral Hospital,,CDC,ICAP,1
185,HdOabpU2quX,Magu District Hospital,HdOabpU2quX,103990-8,AUmGsrOXYLS,Mwanza,Magu District Council,Magu District Hospital,Magu District Hospital,,CDC,ICAP,1
186,M4M6FpNVShi,Uyovu Health Center,M4M6FpNVShi,108233-8,tuaApnoAMU8,Geita,Bukombe District Council,Uyovu Health Center,Uyovu Health Center,,CDC,ICAP,1
187,FXeNnRpkzXf,Buzuruga Health Center,FXeNnRpkzXf,100642-8,BKyu78zeYOb,Mwanza,Ilemela Municipal Council,Buzuruga Health Center,Buzuruga Health Center,,CDC,ICAP,1
188,kaZg8FCuRRv,Sengerema Other Hospital,kaZg8FCuRRv,107370-9,OI77sf6OChE,Mwanza,Sengerema District Council,Sengerema Other Hospital,Sengerema Other Hospital,,CDC,ICAP,1
189,wfRksLXpgAv,Bukombe District Hospital,wfRksLXpgAv,100511-5,Cz9kUczsXT4,Geita,Bukombe District Council,Bukombe District Hospital,Bukombe District Hospital,,CDC,ICAP,1
190,AMdtx1SwvY7,Nansio District Hospital,AMdtx1SwvY7,108053-0,PuJP1Ca0o6U,Mwanza,Ukerewe District Council,Nansio District Hospital,Nansio District Hospital,,CDC,ICAP,1
191,vSWE03fyxwZ,Igoma Health Center,vSWE03fyxwZ,101562-7,WkLUG7ksK9y,Mwanza,Nyamagana Municipal Council,Igoma Health Center,Igoma Health Center,,CDC,ICAP,1
192,c4xzbJP8Jpc,Bwanga Health Center,c4xzbJP8Jpc,100650-1,fXEWSZWezZm,Geita,Chato District Council,Bwanga Health Center,Bwanga Health Center,,CDC,ICAP,1
193,Tb5yvwn62Zd,Chato District Hospital,Tb5yvwn62Zd,100751-7,vPiQTYRDgHZ,Geita,Chato District Council,Chato District Hospital,Chato District Hospital,,CDC,ICAP,1
194,DY4fuJfzIyE,Nyankumbu Health Center,DY4fuJfzIyE,106785-9,ffgpyrL5RL4,Geita,Geita Town council,Nyankumbu Health Center,Nyankumbu Health Center,,CDC,ICAP,1
195,k0Is3WlXoKS,Kisesa A Health Center,k0Is3WlXoKS,110975-0,j8butDzzgek,Mwanza,Magu District Council,Kisesa A Health Center,Kisesa A Health Center,,CDC,ICAP,1
196,TrMJ9dvKJp9,Kisesa Dispensary,TrMJ9dvKJp9,108626-3,bRlqo3FY5WM,Mwanza,Magu District Council,Kisesa Dispensary,Kisesa Dispensary,,CDC,ICAP,1
197,qqo2a2FdqD1,Karume Health Center,qqo2a2FdqD1,102388-6,MWeNGTR72hG,Mwanza,Ilemela Municipal Council,Karume Health Center,Karume Health Center,,CDC,ICAP,1
198,uKW6Nj4j4b5,Buseresere Dispensary,uKW6Nj4j4b5,109820-1,Qngg7nkSQj0,Geita,Chato District Council,Buseresere Dispensary,Buseresere Dispensary,,CDC,ICAP,1
199,tkvcJXHW20M,Misasi Health Center,tkvcJXHW20M,104971-7,kw4SZzH63Sj,Mwanza,Misungwi District Council,Misasi Health Center,Misasi Health Center,,CDC,ICAP,1
201,nyZ3w1dzeOb,Nkome Dispensary,nyZ3w1dzeOb,106534-1,MgrBFNoSbAH,Geita,Geita District Council,Nkome Dispensary,Nkome Dispensary,,CDC,ICAP,1
202,uayKwfEUDGR,Lwamgasa Dispensary,uayKwfEUDGR,103781-1,AW5iF1KxYKO,Geita,Geita District Council,Lwamgasa Dispensary,Lwamgasa Dispensary,,CDC,ICAP,1
203,b9DQk3FfzfI,Sangabuye Health Center,b9DQk3FfzfI,107276-8,X4YF0p8Xm6M,Mwanza,Ilemela Municipal Council,Sangabuye Health Center,Sangabuye Health Center,,CDC,ICAP,1
204,mYjToGL12mO,Kirumba Dispensary,mYjToGL12mO,103048-5,h8s0wmn3QMF,Mwanza,Ilemela Municipal Council,Kirumba Dispensary,Kirumba Dispensary,,CDC,ICAP,1
205,W5E1ESUE0uF,Mwananchi Trust Other Hospital,W5E1ESUE0uF,105902-1,BwiNTApaZku,Mwanza,Nyamagana Municipal Council,Mwananchi Trust Other Hospital,Mwananchi Trust Other Hospital,,CDC,ICAP,1
206,GuuAsw1Z5KQ,Sengerema Health Center,GuuAsw1Z5KQ,107369-1,zDEsKZ6yDSA,Mwanza,Sengerema District Council,Sengerema Health Center,Sengerema Health Center,,CDC,ICAP,1
207,nQcwn9mP0oh,Katete Dispensary,nQcwn9mP0oh,102475-1,kQXQRa0klty,Geita,Chato District Council,Katete Dispensary,Katete Dispensary,,CDC,ICAP,1
208,NHU6THUIxLx,Sumve Other Hospital,NHU6THUIxLx,107666-0,UN8kPr3daLm,Mwanza,Kwimba District Council,Sumve Other Hospital,Sumve Other Hospital,,CDC,ICAP,1
209,Nq3jNFpIDaG,Kakobe Health Center,Nq3jNFpIDaG,108703-0,s1aRtNtKDbr,Mwanza,Buchosa District Council,Kakobe Health Center,Kakobe Health Center,,CDC,ICAP,1
210,MlVdCNKSv52,Nyehunge Health Center,MlVdCNKSv52,106839-4,CHwexntP5Hb,Mwanza,Buchosa District Council,Nyehunge Health Center,Nyehunge Health Center,,CDC,ICAP,1
211,ZEgHcEYmmxJ,Nyarugusu Health Center,ZEgHcEYmmxJ,106806-3,L6OedQgRkKM,Geita,Geita District Council,Nyarugusu Health Center,Nyarugusu Health Center,,CDC,ICAP,1
212,Vay2PE45cbR,Nzera District Hospital,Vay2PE45cbR,106871-7,Y2Hcx0e8otn,Geita,Geita District Council,Nzera District Hospital,Nzera District Hospital,,CDC,ICAP,1
213,M7kPyiuHYDl,Buhongwa Dispensary,M7kPyiuHYDl,100481-1,d1z6jqldHzJ,Mwanza,Nyamagana Municipal Council,Buhongwa Dispensary,Buhongwa Dispensary,,CDC,ICAP,1
214,ucUGpPWROQs,Ngudu District Hospital,ucUGpPWROQs,106426-0,Bht0AOR9NSd,Mwanza,Kwimba District Council,Ngudu District Hospital,Ngudu District Hospital,,CDC,ICAP,1
215,wT9VwrolqD6,Mwangika Health Center,wT9VwrolqD6,105931-0,uT8V4FMboei,Mwanza,Buchosa District Council,Mwangika Health Center,Mwangika Health Center,,CDC,ICAP,1
216,ncsboD3GPLN,Kharumwa Health Center,ncsboD3GPLN,102551-9,EJIVnIY5lJm,Geita,Nyang'hwale District Council,Kharumwa Health Center,Kharumwa Health Center,,CDC,ICAP,1
217,MRNmtK6Wij3,Makongoro Health Center,MRNmtK6Wij3,104128-4,sm0wKHOsSoq,Mwanza,Nyamagana Municipal Council,Makongoro Health Center,Makongoro Health Center,,CDC,ICAP,1
218,iotxXBz52Im,Ushirombo Health Center,iotxXBz52Im,108177-7,rvXoUqGFvd8,Geita,Bukombe District Council,Ushirombo Health Center,Ushirombo Health Center,,CDC,ICAP,1
219,ntak9chsfDR,Muriti Health Center,ntak9chsfDR,105703-3,fyyY0aERvFx,Mwanza,Ukerewe District Council,Muriti Health Center,Muriti Health Center,,CDC,ICAP,1
220,tDrp6GF1Tei,Buzirayombo Dispensary,tDrp6GF1Tei,100640-2,X4wCms251PC,Geita,Chato District Council,Buzirayombo Dispensary,Buzirayombo Dispensary,,CDC,ICAP,1
221,mWpQ7VQ7HKN,Bukumbi Other Hospital,mWpQ7VQ7HKN,100520-6,FD5g5D2Rpar,Mwanza,Misungwi District Council,Bukumbi Other Hospital,Bukumbi Other Hospital,,CDC,ICAP,1
222,Rz1KS15li5x,Mwamashimba Health Center,Rz1KS15li5x,105872-6,PAuOyNAI88v,Mwanza,Kwimba District Council,Mwamashimba Health Center,Mwamashimba Health Center,,CDC,ICAP,1
223,Pj9PZHwHUVh,Pasiansi Dispensary,Pj9PZHwHUVh,106980-6,uIEMuHNFtVh,Mwanza,Ilemela Municipal Council,Pasiansi Dispensary,Pasiansi Dispensary,,CDC,ICAP,1
224,A4cOyPutVmU,Kome Health Center,A4cOyPutVmU,103288-7,v7K3WQssaAR,Mwanza,Buchosa District Council,Kome Health Center,Kome Health Center,,CDC,ICAP,1
225,jTLhe7nUb3v,Hindu Union Mwanza Other Hospital,jTLhe7nUb3v,101372-1,gRvjIXW86jM,Mwanza,Nyamagana Municipal Council,Hindu Union Mwanza Other Hospital,Hindu Union Mwanza Other Hospital,,CDC,ICAP,1
226,n4ZOMGcQA9f,Nyakarilo Health Center,n4ZOMGcQA9f,106661-2,II9pqgiCTKD,Mwanza,Buchosa District Council,Nyakarilo Health Center,Nyakarilo Health Center,,CDC,ICAP,1
227,a0b16yfOW83,Ikunguigazi Dispensary,a0b16yfOW83,101686-4,tZvG4M0fkA2,Geita,Mbogwe District Council,Ikunguigazi Dispensary,Ikunguigazi Dispensary,,CDC,ICAP,1
228,OeGzqDmeNOE,Kasamwa Rhc Health Center,OeGzqDmeNOE,102394-4,jkhHWCbgEEL,Geita,Geita Town council,Kasamwa Rhc Health Center,Kasamwa Rhc Health Center,,CDC,ICAP,1
229,VUVbZsUX03s,Nyakafuru Dispensary,VUVbZsUX03s,106654-7,ccujUs1thAn,Geita,Mbogwe District Council,Nyakafuru Dispensary,Nyakafuru Dispensary,,CDC,ICAP,1
230,hy2SPGZr4a7,Ngomamtimba Health Center,hy2SPGZr4a7,106402-1,eWcD78fKySR,Mwanza,Sengerema District Council,Ngomamtimba Dispensary,Ngomamtimba Dispensary,,CDC,ICAP,1
231,brYtvXITla3,Mnazi Mmoja District Hospital,brYtvXITla3,105242-2,BzpWJI6nigv,Dar es Salaam,Ilala Municipal Council,Mnazi Mmoja District Hospital,Mnazi Mmoja District Hospital,,CDC,MDH,1
232,RuJUaJIqUR7,Mbagala Rangi Tatu District Hospital,RuJUaJIqUR7,104547-5,qauNjZWsHdc,Dar es Salaam,Temeke Municipal Council,Mbagala Rangi Tatu District Hospital,Mbagala Rangi Tatu District Hospital,,CDC,MDH,1
233,ymiIhszR6dn,Mwananyamala Regional Referral Hospital,ymiIhszR6dn,105905-4,D5N8BUeu0PZ,Dar es Salaam,Kinondoni Municipal Council,Mwananyamala Regional Referral Hospital,Mwananyamala Regional Referral Hospital,,CDC,MDH,1
234,GRDYT0QagNn,Amana Regional Referral Hospital,GRDYT0QagNn,100097-5,did92ra3Zqr,Dar es Salaam,Ilala Municipal Council,Amana Regional Referral Hospital,Amana Regional Referral Hospital,,CDC,MDH,1
235,rImF6zIqpn9,Temeke Regional Referral Hospital,rImF6zIqpn9,107806-2,PG1vihBws0O,Dar es Salaam,Temeke Municipal Council,Temeke Regional Referral Hospital,Temeke Regional Referral Hospital,,CDC,MDH,1
236,K49uu15l6Tl,Upendano Dispensary,K49uu15l6Tl,108131-4,kINYgZfaQ6H,Dar es Salaam,Temeke Municipal Council,Upendano Dispensary,Upendano Dispensary,,CDC,MDH,1
237,FDVGobAbKxD,Buguruni Health Center,FDVGobAbKxD,100463-9,Iykwd85Jp4y,Dar es Salaam,Ilala Municipal Council,Buguruni Health Center,Buguruni Health Center,,CDC,MDH,1
238,fdMq1IC5VMY,Magomeni Health Center,fdMq1IC5VMY,108448-2,NiMHczjDXGC,Dar es Salaam,Kinondoni Municipal Council,Magomeni Health Center,Magomeni Health Center,,CDC,MDH,1
239,fC4NmwUQq48,Sinza District Hospital,fC4NmwUQq48,107495-4,UWjfLYVSeCp,Dar es Salaam,Ubungo Municipal Council,Sinza District Hospital,Sinza District Hospital,,CDC,MDH,1
240,zdwHIGIthh1,Infectious Disease Center Other Clinic,zdwHIGIthh1,101808-4,tRGL6m2MBqZ,Dar es Salaam,Ilala Municipal Council,Infectious Disease Center Other Clinic,Infectious Disease Center Other Clinic,,CDC,MDH,1
241,aV1Q170SUPX,Tandale Health Center,aV1Q170SUPX,107738-7,Y06ZXodDpDE,Dar es Salaam,Kinondoni Municipal Council,Tandale Health Center,Tandale Health Center,,CDC,MDH,1
242,BPlHIvSaYp0,Tabata A Dispensary,BPlHIvSaYp0,107696-7,XqWcXKSLWe3,Dar es Salaam,Ilala Municipal Council,Tabata A Dispensary,Tabata A Dispensary,,CDC,MDH,1
243,dYr7AUtLK9U,Chanika Health Center,dYr7AUtLK9U,100738-4,HQcfD5t2HG8,Dar es Salaam,Ilala Municipal Council,Chanika Health Center,Chanika Health Center,,CDC,MDH,1
244,aQ6gBKUM6IM,Nzega District Hospital,aQ6gBKUM6IM,106869-1,qNqtu8D2q3m,Tabora,Nzega Town Council,Nzega District Hospital,Nzega District Hospital,,CDC,MDH,1
245,y9DO43xRhsp,Muhimbili National Hospital,y9DO43xRhsp,105651-4,jxGwtnflcB4,Dar es Salaam,Ilala Municipal Council,Muhimbili National Hospital,Muhimbili National Hospital,,CDC,MDH,1
246,Our1TzAGCmu,Mbezi Health Center,Our1TzAGCmu,108687-5,zdtpRp9662o,Dar es Salaam,Ubungo Municipal Council,Mbezi Health Center,Mbezi Health Center,,CDC,MDH,1
247,E9CUCbZWE3x,Vingunguti Dispensary,E9CUCbZWE3x,108265-0,KXyfVgLVAhU,Dar es Salaam,Ilala Municipal Council,Vingunguti Dispensary,Vingunguti Dispensary,,CDC,MDH,1
248,m2FC6IBrCVz,Mbagala Kizuiani Dispensary,m2FC6IBrCVz,110277-1,rklffOGrPuG,Dar es Salaam,Temeke Municipal Council,Mbagala Kizuiani Dispensary,Mbagala Kizuiani Dispensary,,CDC,MDH,1
249,rfFkA9hjl9e,Igunga District Hospital,rfFkA9hjl9e,101589-0,Lgwp1MqqTfM,Tabora,Igunga District Council,Igunga District Hospital,Igunga District Hospital,,CDC,MDH,1
250,SbQ4nbnY5Zc,Kimara Health Center,SbQ4nbnY5Zc,102900-8,iJWdya3N3H1,Dar es Salaam,Ubungo Municipal Council,Kimara Health Center,Kimara Health Center,,CDC,MDH,1
251,UGcGDGI4eUa,Consolata Sisters Dispensary,UGcGDGI4eUa,100928-1,EY1Zy83SoCW,Dar es Salaam,Temeke Municipal Council,Consolata Sisters Dispensary,Consolata Sisters Dispensary,,CDC,MDH,1
252,Zn0ZwInrhHj,Tegeta Mission Dispensary,Zn0ZwInrhHj,107800-5,NcXSENms89Z,Dar es Salaam,Kinondoni Municipal Council,Tegeta Mission Dispensary,Tegeta Mission Dispensary,,CDC,MDH,1
253,qbvm0hcQ0Nw,Bukoba Regional Referral Hospital,qbvm0hcQ0Nw,102162-5,uUJ5kief1x9,Kagera,Bukoba Municipal Council,Bukoba Regional Referral Hospital,Bukoba Regional Referral Hospital,,CDC,MDH,1
254,MIzRUpTkS78,Zamzam Health Center,MIzRUpTkS78,108406-0,AA9FgtEt66D,Kagera,Bukoba Municipal Council,Zamzam Health Center,Zamzam Health Center,,CDC,MDH,1
255,Lk2MLiHAwm9,Urambo District Hospital,Lk2MLiHAwm9,108148-8,DzANb6tcDKx,Tabora,Urambo District Council,Urambo District Hospital,Urambo District Hospital,,CDC,MDH,1
256,SglapzcGSXw,Rwamishenye Health Center,SglapzcGSXw,107193-5,eWgF835sNPh,Kagera,Bukoba Municipal Council,Rwamishenye Health Center,Rwamishenye Health Center,,CDC,MDH,1
257,LRzJOtJJVPh,Tambukareli Dispensary,LRzJOtJJVPh,110560-0,xiefjIPhmHl,Dar es Salaam,Temeke Municipal Council,Tambukareli Dispensary,Tambukareli Dispensary,,CDC,MDH,1
258,IwbnN8l3Eiw,Nyakahanga Other Hospital,IwbnN8l3Eiw,106656-2,zmZ6qcvEHjK,Kagera,Karagwe District Council,Nyakahanga Other Hospital,Nyakahanga Other Hospital,,CDC,MDH,1
259,Cz8YxZFF9Nq,Bunju Health Center,Cz8YxZFF9Nq,100577-6,IchRMArbUFU,Dar es Salaam,Kinondoni Municipal Council,Bunju Health Center,Bunju Health Center,,CDC,MDH,1
260,ivojFmhMGjv,Cardinal Rugambwa Other Hospital,ivojFmhMGjv,100677-4,T3f1zgWWvu7,Dar es Salaam,Ilala Municipal Council,Cardinal Rugambwa Other Hospital,Cardinal Rugambwa Other Hospital,,CDC,MDH,1
261,UFWYvkqXX89,Kitete Regional Referral Hospital,UFWYvkqXX89,107703-1,kKFypcOkLp7,Tabora,Tabora Municipal Council,Kitete Regional Referral Hospital,Kitete Regional Referral Hospital,,CDC,MDH,1
262,twfJFPdIj9l,Nkinga Health Labs,twfJFPdIj9l,106522-6,LmV0UuEKhKL,Tabora,Igunga District Council,Nkinga Health Labs,Nkinga Health Labs,,CDC,MDH,1
263,alC88RTMgB8,Kigamboni Health Center,alC88RTMgB8,102693-9,Ct7uIWG4LhO,Dar es Salaam,Kigamboni Municipal Council,Kigamboni Health Center,Kigamboni Health Center,,CDC,MDH,1
264,vYOok9BOfHu,Mbande Dispensary,vYOok9BOfHu,104565-7,IlUBGawUxhr,Dar es Salaam,Temeke Municipal Council,Mbande Dispensary,Mbande Dispensary,,CDC,MDH,1
265,X92pFekgiTe,Kaigara Health Center,X92pFekgiTe,102192-2,htKRieywaB0,Kagera,Muleba District Council,Kaigara Health Center,Kaigara Health Center,,CDC,MDH,1
